#TYPE System.Diagnostics.Process
"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"Code","2","310","2220884193280","4341760","13651968","16760","C:\Users\jsystemuser1\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","0.46875","1.73.1","1.73.1","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"3784","Microsoft.Win32.SafeHandles.SafeProcessHandle","310","4392",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16760","16760","13651968","13651968","556424","556424","18288640","18288640","24346624","24346624","486764544","2220984856576","True","Normal","13651968","13651968","00:00:00.2343750","Code","3","True","2","System.Diagnostics.ProcessStartInfo","11/29/2022 7:54:43 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4687500","00:00:00.2343750","386101248","2220884193280","False",,,,"4341760","4341760",,
"Code","2","228","2225349214208","11288576","25006080","14728","C:\Users\jsystemuser1\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","0.609375","1.73.1","1.73.1","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"2748","Microsoft.Win32.SafeHandles.SafeProcessHandle","228","5132",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14728","14728","25006080","25006080","542360","542360","28139520","28139520","43368448","43368448","653115392","2225446174720","True","Normal","25006080","25006080","00:00:00.2500000","Code","3","True","2","System.Diagnostics.ProcessStartInfo","11/29/2022 7:54:52 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.6093750","00:00:00.3593750","556154880","2225349214208","False",,,,"11288576","11288576",,
"Code","2","278","2220849188864","4268032","11104256","13368","C:\Users\jsystemuser1\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","0.078125","1.73.1","1.73.1","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"4084","Microsoft.Win32.SafeHandles.SafeProcessHandle","278","5624",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13368","13368","11104256","11104256","516584","516584","11227136","11227136","14573568","14573568","367874048","2220865966080","True","Normal","11104256","11104256","00:00:00.0625000","Code","3","True","2","System.Diagnostics.ProcessStartInfo","11/29/2022 7:54:42 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0781250","00:00:00.0156250","351096832","2220849188864","False",,,,"4268032","4268032",,
"Code","2","270","2225366945792","11063296","43970560","17544","C:\Users\jsystemuser1\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","2.078125","1.73.1","1.73.1","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"3700","Microsoft.Win32.SafeHandles.SafeProcessHandle","270","6148",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17544","17544","43970560","43970560","556112","556112","49332224","49332224","52080640","52080640","653115392","2225446174720","True","Normal","43970560","43970560","00:00:00.9218750","Code","3","True","2","System.Diagnostics.ProcessStartInfo","11/29/2022 7:54:50 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:02.0781250","00:00:01.1562500","573886464","2225366945792","False",,,,"11063296","11063296",,
"Code","2","320","2225350369280","31076352","68268032","17512","C:\Users\jsystemuser1\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","13.515625","1.73.1","1.73.1","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"1472","Microsoft.Win32.SafeHandles.SafeProcessHandle","320","6172",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17512","17512","68268032","68268032","559464","559464","81489920","81489920","84996096","84996096","653115392","2225446174720","True","Normal","68268032","68268032","00:00:03.1718750","Code","3","True","2","System.Diagnostics.ProcessStartInfo","11/29/2022 7:54:48 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:13.5156250","00:00:10.3437500","557309952","2225350369280","False",,,,"31076352","31076352",,
"Code","2","228","2225295179776","4276224","51044352","13368","C:\Users\jsystemuser1\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","1.015625","1.73.1","1.73.1","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"4660","Microsoft.Win32.SafeHandles.SafeProcessHandle","228","6456",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13368","13368","51044352","51044352","539624","539624","76066816","76066816","88645632","88645632","653115392","2225446174720","True","Normal","51044352","51044352","00:00:00.2343750","Code","3","True","2","System.Diagnostics.ProcessStartInfo","11/29/2022 12:45:54 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:01.0156250","00:00:00.7812500","502120448","2225295179776","False",,,,"4276224","4276224",,
"Code","2","404","2234034909184","29683712","55795712","18800","C:\Users\jsystemuser1\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","15.71875","1.73.1","1.73.1","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"3932","Microsoft.Win32.SafeHandles.SafeProcessHandle","404","6508",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18800","18800","55795712","55795712","560896","560896","120856576","120856576","152731648","152731648","659677184","2234042671104","True","Normal","55795712","55795712","00:00:03.5937500","Code","3","True","2","System.Diagnostics.ProcessStartInfo","11/29/2022 7:54:49 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:15.7187500","00:00:12.1250000","651915264","2234034909184","False",,,,"29683712","29683712",,
"Code","2","1031","2225666740224","39198720","45903872","42944","C:\Users\jsystemuser1\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","36.15625","1.73.1","1.73.1","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"3088","Microsoft.Win32.SafeHandles.SafeProcessHandle","1031","6760",".","131642","reportTocsv.csv - Untitled (Workspace) - Visual Studio Code [Administrator]","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","42944","42944","45903872","45903872","912552","912552","61460480","61460480","109891584","109891584","1423675392","2226216734720","True","Normal","45903872","45903872","00:00:17.6718750","Code","3","True","2","System.Diagnostics.ProcessStartInfo","11/29/2022 7:54:38 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:36.1562500","00:00:18.4843750","873680896","2225666740224","False",,,,"39198720","39198720",,
"Code","2","379","2221164675072","60432384","152473600","40976","C:\Users\jsystemuser1\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","174.1875","1.73.1","1.73.1","Visual Studio Code","Visual Studio Code","Process","10",,"False",,"4948","Microsoft.Win32.SafeHandles.SafeProcessHandle","379","6992",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","40976","40976","152473600","152473600","787704","787704","162045952","162045952","129511424","129511424","701468672","2221199560704","True","AboveNormal","152473600","152473600","00:00:54.2343750","Code","3","True","2","System.Diagnostics.ProcessStartInfo","11/29/2022 7:54:42 AM",,"System.Diagnostics.ProcessThreadCollection","00:02:54.1875000","00:01:59.9531250","666583040","2221164675072","False",,,,"60432384","60432384",,
"Code","2","534","2244899614720","204689408","196964352","40432","C:\Users\jsystemuser1\AppData\Local\Programs\Microsoft VS Code\Code.exe","Microsoft Corporation","338.921875","1.73.1","1.73.1","Visual Studio Code","Visual Studio Code","Process","8",,"False",,"3160","Microsoft.Win32.SafeHandles.SafeProcessHandle","534","7076",".","0","","System.Diagnostics.ProcessModule (Code.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","40432","40432","196964352","196964352","883488","883488","232366080","232366080","293277696","293277696","-1346813952","2244921081856","True","Normal","196964352","196964352","00:00:35.4843750","Code","3","True","2","System.Diagnostics.ProcessStartInfo","11/29/2022 7:54:44 AM",,"System.Diagnostics.ProcessThreadCollection","00:05:38.9218750","00:05:03.4375000","-1368281088","2244899614720","False",,,,"204689408","204689408",,
